P7(2)P3(0)P2(1)P5(1) - [6, 3, 7, 13, 2, 19, 5, 10, 20, 21, 11, 1, 15, 8, 18, 17, 16, 4, 12, 9, 14]
P7(2)P3(0)P2(1)P5(2) - [16, 6, 13, 19, 3, 14, 1, 7, 5, 21, 20, 12, 9, 15, 2, 8, 18, 17, 11, 4, 10]
P7(2)P3(1)P2(0)P5(0) - [6, 4, 2, 14, 11, 9, 19, 3, 16, 21, 7, 18, 1, 8, 15, 13, 12, 10, 20, 5, 17]
P7(2)P3(1)P2(0)P5(1) - [11, 15, 17, 3, 12, 2, 7, 9, 20, 21, 18, 16, 13, 10, 6, 5, 4, 1, 19, 8, 14]
P7(2)P3(1)P2(0)P5(2) - [4, 11, 3, 2, 15, 14, 16, 17, 7, 21, 20, 19, 8, 13, 12, 10, 6, 5, 18, 1, 9]
P7(2)P3(1)P2(1)P5(0) - [6, 11, 3, 13, 4, 5, 21, 2, 18, 19, 7, 16, 1, 17, 12, 14, 15, 10, 20, 9, 8]
P7(2)P3(1)P2(1)P5(1) - [4, 12, 8, 2, 15, 3, 7, 5, 20, 19, 16, 18, 14, 10, 6, 9, 11, 1, 21, 17, 13]
P7(2)P3(1)P2(1)P5(2) - [11, 4, 2, 3, 12, 13, 18, 8, 7, 19, 20, 21, 17, 14, 15, 10, 6, 9, 16, 1, 5]
P7(2)P3(2)P2(0)P5(0) - [16, 18, 21, 13, 6, 10, 15, 14, 1, 19, 9, 4, 11, 5, 2, 12, 3, 17, 20, 8, 7]
P7(2)P3(2)P2(0)P5(1) - [6, 2, 7, 14, 3, 21, 9, 10, 20, 19, 4, 1, 12, 17, 16, 8, 18, 11, 15, 5, 13]
P7(2)P3(2)P2(0)P5(2) - [18, 6, 14, 21, 2, 13, 1, 7, 9, 19, 20, 15, 5, 12, 3, 17, 16, 8, 4, 11, 10]
P7(2)P3(2)P2(1)P5(0) - [16, 6, 14, 12, 18, 8, 19, 21, 4, 15, 9, 1, 11, 7, 3, 13, 2, 17, 20, 10, 5]
P7(2)P3(2)P2(1)P5(1) - [18, 3, 5, 21, 2, 14, 9, 8, 20, 15, 1, 4, 13, 17, 16, 10, 6, 11, 19, 7, 12]
P7(2)P3(2)P2(1)P5(2) - [6, 18, 21, 14, 3, 12, 4, 5, 9, 15, 20, 19, 7, 13, 2, 17, 16, 10, 1, 11, 8]
P7(3)P3(0)P2(0)P5(0) - [10, 4, 6, 3, 9, 15, 16, 1, 7, 19, 21, 20, 17, 5, 13, 11, 2, 12, 18, 8, 14]
P7(3)P3(0)P2(0)P5(1) - [9, 13, 14, 1, 2, 6, 21, 15, 18, 19, 20, 7, 11, 12, 10, 8, 4, 17, 16, 5, 3]
P7(3)P3(0)P2(0)P5(2) - [4, 9, 1, 6, 13, 3, 7, 14, 21, 19, 18, 16, 5, 11, 2, 12, 10, 8, 20, 17, 15]
P7(3)P3(0)P2(1)P5(0) - [10, 9, 1, 11, 4, 8, 19, 6, 20, 16, 21, 7, 17, 14, 2, 3, 13, 12, 18, 15, 5]
