P7(1)P3(1)P2(0)P5(0) - [7, 2, 4, 6, 8, 9, 15, 17, 3, 18, 5, 19, 16, 20, 21, 10, 11, 13, 12, 14, 1]
P7(1)P3(1)P2(0)P5(1) - [8, 21, 1, 17, 11, 4, 5, 9, 12, 18, 19, 3, 10, 13, 7, 14, 2, 16, 15, 20, 6]
P7(1)P3(1)P2(0)P5(2) - [11, 7, 6, 9, 2, 1, 19, 4, 15, 18, 3, 12, 14, 16, 8, 20, 21, 10, 5, 13, 17]
P7(1)P3(1)P2(0)P5(3) - [2, 8, 17, 4, 21, 6, 3, 1, 5, 18, 12, 15, 20, 10, 11, 13, 7, 14, 19, 16, 9]
P7(1)P3(1)P2(0)P5(4) - [21, 11, 9, 1, 7, 17, 12, 6, 19, 18, 15, 5, 13, 14, 2, 16, 8, 20, 3, 10, 4]
P7(1)P3(1)P2(1)P5(0) - [7, 8, 17, 10, 2, 14, 18, 4, 19, 15, 5, 3, 16, 1, 11, 6, 21, 13, 12, 9, 20]
P7(1)P3(1)P2(1)P5(1) - [2, 11, 20, 4, 21, 17, 5, 14, 12, 15, 3, 19, 6, 13, 7, 9, 8, 16, 18, 1, 10]
P7(1)P3(1)P2(1)P5(2) - [21, 7, 10, 14, 8, 20, 3, 17, 18, 15, 19, 12, 9, 16, 2, 1, 11, 6, 5, 13, 4]
P7(1)P3(1)P2(1)P5(3) - [8, 2, 4, 17, 11, 10, 19, 20, 5, 15, 12, 18, 1, 6, 21, 13, 7, 9, 3, 16, 14]
P7(1)P3(1)P2(1)P5(4) - [11, 21, 14, 20, 7, 4, 12, 10, 3, 15, 18, 5, 13, 9, 8, 16, 2, 1, 19, 6, 17]
P7(1)P3(2)P2(0)P5(0) - [8, 16, 11, 6, 19, 20, 4, 21, 2, 18, 1, 7, 3, 13, 10, 17, 15, 9, 12, 5, 14]
P7(1)P3(2)P2(0)P5(1) - [19, 10, 14, 21, 15, 11, 1, 20, 12, 18, 7, 2, 17, 9, 8, 5, 16, 3, 4, 13, 6]
P7(1)P3(2)P2(0)P5(2) - [15, 8, 6, 20, 16, 14, 7, 11, 4, 18, 2, 12, 5, 3, 19, 13, 10, 17, 1, 9, 21]
P7(1)P3(2)P2(0)P5(3) - [16, 19, 21, 11, 10, 6, 2, 14, 1, 18, 12, 4, 13, 17, 15, 9, 8, 5, 7, 3, 20]
P7(1)P3(2)P2(0)P5(4) - [10, 15, 20, 14, 8, 21, 12, 6, 7, 18, 4, 1, 9, 5, 16, 3, 19, 13, 2, 17, 11]
P7(1)P3(2)P2(1)P5(0) - [8, 19, 21, 17, 16, 5, 18, 11, 7, 4, 1, 2, 3, 14, 15, 6, 10, 9, 12, 20, 13]
P7(1)P3(2)P2(1)P5(1) - [16, 15, 13, 11, 10, 21, 1, 5, 12, 4, 2, 7, 6, 9, 8, 20, 19, 3, 18, 14, 17]
P7(1)P3(2)P2(1)P5(2) - [10, 8, 17, 5, 19, 13, 2, 21, 18, 4, 7, 12, 20, 3, 16, 14, 15, 6, 1, 9, 11]
